Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
Airedale General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=805,"Skipton Road, Steeton, Keighley, West Yorkshire, BD20 6TD",Airedale NHS Foundation Trust,BD20 6TD,805,Airedale General Hospital,NA,Requires Improvement,94%,100%,97%,NA,97%,87%,77%,NA,NA
Castleberg Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139,"Raines Road, Giggleswick, Settle, North Yorkshire, BD24 0BN",Airedale NHS Foundation Trust,BD24 0BN,139,Castleberg Hospital,NA,NA,NA,100%,NA,NA,97%,87%,77%,NA,NA
Skipton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=365,"Keighley Road, Skipton, North Yorkshire, BD23 2RJ",Airedale NHS Foundation Trust,BD23 2RJ,365,Skipton General Hospital,NA,No rating,NA,100%,NA,NA,97%,87%,77%,NA,NA
Alder Hey Children's NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=171,"Alder Hey Children's Hospital, Eaton Road, Liverpool, L12 2AP",Alder Hey Children's NHS Foundation Trust,L12 2AP,171,Alder Hey Children's NHS Foundation Trust,NA,Good,81%,92%,95%,NA,96%,93%,75%,73%,NA
Ashford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1456,"London Road, Ashford, Middlesex, TW15 3AA",Ashford and St Peter's Hospitals NHS Foundation Trust,TW15 3AA,1456,Ashford Hospital,NA,Requires Improvement,NA,NA,99%,NA,100%,65%,35%,NA,NA
Ashtead Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116559,"The Warren, Ashtead, Surrey, KT21 2SB",Ashford and St Peter's Hospitals NHS Foundation Trust,KT21 2SB,116559,Ashtead Hospital,NA,Good,NA,NA,100%,NA,99%,NA,NA,NA,NA
Epsom Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116560,"Dorking Road, Epsom, Surrey, KT18 7EG",Ashford and St Peter's Hospitals NHS Foundation Trust,KT18 7EG,116560,Epsom Hospital,NA,Good,89%,99%,94%,NA,94%,80%,63%,NA,NA
Haslemere & District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=97253,"Church Lane, Haslemere, Surrey, GU27 2BJ",Ashford and St Peter's Hospitals NHS Foundation Trust,GU27 2BJ,97253,Haslemere Hospital ,NA,NA,NA,95%,NA,NA,98%,NA,NA,NA,NA
Royal Surrey County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147509,"Egerton Road, Guildford, Surrey, GU2 7XX",Ashford and St Peter's Hospitals NHS Foundation Trust,GU2 7XX,147509,Royal Surrey County Hospital,NA,Good,86%,100%,96%,NA,94%,87%,71%,NA,NA
Spire Thames Valley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128563,"Wexham Street, Wexham, Slough, Berkshire, SL3 6NH",Ashford and St Peter's Hospitals NHS Foundation Trust,SL3 6NH,128563,Spire Thames Valley Hospital,NA,Good,NA,NA,1,NA,96%,NA,NA,NA,NA
St Peter's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=965,"Guildford Road, Chertsey, Surrey, KT16 0PZ",Ashford and St Peter's Hospitals NHS Foundation Trust,KT16 0PZ,965,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
Teddington Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100034,"Hampton Road, Teddington, Middlesex, TW11 0JL",Ashford and St Peter's Hospitals NHS Foundation Trust,TW11 0JL,100034,Teddington Memorial Hospital,NA,NA,NA,96%,NA,NA,NA,88%,73%,NA,NA
